ua,tc,amt,amt_avg,cc,dwm,lzd
0xbd1edea3e3617ff64c659b274ac3dacab7ceebc1,104,0.31,0.002980769230769231,6 / 13 / 10,25 / 19 / 10,307
0xeb26a91cc4e93a2f8be8ae0ac982824e18f6818b,104,0.0,0.0,3 / 4 / 14,17 / 11 / 8,713
0x571273b750eb0d711d028bc728f5c292b764c1ee,421,0.0,0.0,1 / 2 / 2,36 / 9 / 4,143
0x46b8a0c1ac1e245f2061286d18f18a7fc6711ad4,104,0.34,0.0032692307692307695,6 / 12 / 12,25 / 19 / 10,307
0x57726933e488f47df7a4d4b8ace7ecf1a522741f,109,0.49,0.004495412844036697,6 / 12 / 12,25 / 18 / 10,307
0x673c4d00edcfc3cf9bfbab30b3b5838f87b43cb3,227,0.0,0.0,2 / 14 / 2,64 / 15 / 5,96
0xc45f4105709782f418395fbbb487c029ce5f1eac,224,0.0,0.0,1 / 1 / 1,1 / 1 / 1,294
0x1c14cdcba27bedc59c92b4aa23bbbe422079eb02,210,0.0,0.0,3 / 14 / 3,55 / 14 / 5,96
0x3a3f6b430c2f51e5499a6c8237de429036712a5d,228,0.0,0.0,2 / 13 / 2,62 / 15 / 5,96
0x626a5f472ff7bcfe4a165bc06cd0975d513ae772,127,0.0,0.0,2 / 2 / 13,18 / 9 / 4,705
0xf0a5addd704360d6028150836268c179a7ee5534,178,0.0,0.0,9 / 11 / 3,12 / 8 / 5,407
0x87a4cc7102c22f59ae3f15643a60dc4e3450a67b,229,0.0,0.0,2 / 13 / 2,64 / 15 / 5,96
0x3b5f66a66b27057006972efba64b93069d09a3d4,243,0.0,0.0,2 / 14 / 3,63 / 15 / 5,96
0x58dbbceb0095ecf8b47ddc2fd2fc6b71ada609d4,112,0.83,0.007410714285714285,7 / 26 / 20,22 / 18 / 11,300
0x11a770cca0b71d47139dbbaaa72cf79d96ff2ec4,404,3.06,0.007574257425742574,10 / 40 / 14,63 / 12 / 4,81
0x1c615082d75e8743c384f8b626ce71b976513f5c,144,0.0,0.0,2 / 27 / 7,5 / 2 / 2,6
0x696b57681b1910b35f38ba2543e9d3fa5dcdbd54,277,0.0,0.0,2 / 4 / 26,57 / 29 / 12,693
0x4ba7e0220142d305a6209658324aefb78626e5b9,147,0.25,0.0017006802721088435,3 / 12 / 10,17 / 13 / 8,307
0x459440e6868f4d662dc331262f462f7f393be860,102,0.52,0.005098039215686275,4 / 8 / 7,7 / 5 / 4,75
0x1ab126ab21944a211b0bbec1f3b2d6a173131166,232,0.0,0.0,2 / 13 / 3,63 / 15 / 5,96
0x83a3b9cc64834e280033474915bc2a02d4a09470,110,0.42,0.0038181818181818182,6 / 7 / 8,7 / 5 / 4,98
0xf88d7f489a50c47670bb5cb6d20e9370bb8bd548,110,0.4,0.0036363636363636364,6 / 7 / 8,6 / 4 / 3,75
0xe53c7bc90688f0a7c8c2e1205c73927893c7f5f9,244,0.0,0.0,3 / 2 / 4,72 / 13 / 5,309
0xd3b36fb254e593cf057a311a48d79e3240f65245,115,0.19,0.0016521739130434783,6 / 10 / 15,42 / 19 / 7,236
0xa3edfe7282543d1a6ccacaf6fe6c2e7874673926,126,0.7,0.005555555555555555,4 / 17 / 12,10 / 9 / 8,246
0xb1db16012149f7effdffce732b44b59355184a61,170,0.51,0.003,1 / 11 / 1,38 / 7 / 2,77
0x98151062557cffe2ece1e717baf4dfdb6c1498ff,243,0.0,0.0,3 / 2 / 4,74 / 15 / 6,309
0xafe5f655d05a4432795c244cf89d9ad51bbe73d4,231,0.0,0.0,3 / 2 / 4,66 / 11 / 5,309
0x61682cbd56959d5c32427449bb0822aa935ff9cf,242,0.0,0.0,3 / 2 / 3,73 / 12 / 4,309
0x40854ee1edc53416d5319a0517e4b5ef33b9beef,102,0.37,0.0036274509803921567,3 / 14 / 5,6 / 4 / 3,141
0x475a81d76bb1ab9702fbc5264e2ce400611074c4,492,0.0,0.0,1 / 2 / 2,41 / 9 / 4,143
0x558dc3604d513e58445016cfdb0f10d6fa419cb0,111,0.23,0.002072072072072072,1 / 6 / 1,17 / 11 / 3,76
0xa63d53fe485d6ce91596e1919e19fe77e269ef4d,113,0.42,0.0037168141592920354,6 / 21 / 15,11 / 11 / 9,245
